File_Size,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,X,Y,Color_Channel,Modify_Bit,PSNR,MSE,SPACE,SPACE,
2600k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,293,1,3,35.182631665315775,177.44334008487655,,,427,462,1,0,17.389870273222026,10674.212465277778,,,656,293,1,2,14.066531428522442,22944.03135320216,,,656,293,1,4,7.911091220523252,94670.2988888889,,,170,2179,0,1,51.91132746075905,3.768687474288236,,,1219,396,1,0,19.081855330835175,7229.98401705617,,,170,2179,0,3,41.28566994660893,43.526713380785466,,,170,2179,0,6,11.28004612763351,43583.11403199183,,,
2700k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,720,1,3,34.460152251048385,209.55964072145062,,,0,480,2,0,17.11077708007793,11382.696657503859,,,16,720,1,2,14.050229544723402,23030.31699990355,,,16,720,1,4,7.876651893781958,95424.01395061729,,,262,99,1,1,51.48419904302317,4.158176943699732,,,1782,411,2,0,18.877099234959054,7579.018144924105,,,262,99,0,4,40.46507928428036,52.57931718324021,,,262,99,1,6,11.272159411879226,43662.3321517796,,,
2800k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,66,2,3,33.856202777409436,240.82556761188272,,,1494,497,0,0,16.798552648100262,12231.158820891204,,,1296,66,1,3,14.019777710754056,23192.36830729167,,,1296,66,2,4,7.8307703698259035,96437.47555555556,,,354,465,1,1,50.99300102608923,4.656105023101312,,,108,427,0,0,18.66458441427006,7959.108568858569,,,354,465,0,4,39.169934115472124,70.84830406485173,,,354,465,1,6,11.230716653591111,44080.97633019787,,,
2900k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,493,2,3,33.11609153450515,285.57074652777777,,,1067,515,1,0,16.517059082061593,13050.193828607253,,,656,493,1,3,13.974920448294469,23433.158252314814,,,656,493,2,4,7.799963475606516,97123.99160493827,,,446,831,1,1,50.576010057115596,5.125330371045869,,,671,442,1,0,18.458873469254907,8345.176441703805,,,446,831,0,4,38.01167850569626,92.5028300294402,,,446,831,1,6,11.158109837215855,44824.13181375439,,,
3000k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,920,2,3,32.61686987905785,320.3582277199074,,,640,533,2,0,16.25181491732781,13872.073415798612,,,16,920,1,3,13.939658920401925,23624.192798032407,,,16,920,2,4,7.760541578308836,98009.62160493828,,,538,1197,1,1,50.215425640835434,5.56903960214448,,,1234,457,2,0,18.2507745483021,8754.783595547655,,,538,1197,0,4,36.92672813997751,118.754494763386,,,538,1197,1,6,11.118667576382155,45233.075004914004,,,
3100k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,266,0,4,31.180501966734333,445.9361434220679,,,214,551,0,0,16.008781720569218,14670.492653838735,,,1296,266,1,4,13.822046637051224,24272.70661554784,,,1296,266,0,3,7.714826407469292,99046.7499691358,,,630,1563,1,1,49.89609600980199,5.993952118210907,,,1798,472,0,0,18.048655704607167,9171.857525773874,,,630,1563,0,4,36.10631748829443,143.44688488509993,,,630,1563,1,6,11.094858869688132,45481.730800117206,,,
3200k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,693,0,4,30.061831411083176,576.9520611496913,,,1707,568,1,0,15.75871599945728,15540.009156539352,,,656,693,1,4,13.76935569346684,24568.98985339506,,,656,693,0,3,7.687918922438993,99662.31663580248,,,722,1929,1,1,49.59659949938873,6.421890858632247,,,123,488,1,0,17.845498059616965,9611.099300566955,,,722,1929,0,4,35.476401970252915,165.8374737036704,,,722,1929,1,6,11.100454716759486,45423.16571930463,,,
3300k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,40,1,4,29.194746626595112,704.4468113425926,,,1280,586,2,0,15.502111200720288,16485.865420524693,,,16,40,1,5,13.712022250795567,24895.488086902005,,,16,40,1,3,7.659420688564311,100318.44725308642,,,814,2295,1,1,49.29998732572365,6.875814281966801,,,686,503,2,0,17.651283963449398,10050.657507798474,,,814,2295,0,4,34.91974147177713,188.5162200583543,,,814,2295,1,6,11.140981608914784,45001.26368523467,,,
3400k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,466,1,4,28.418587215008518,842.2948567708333,,,854,604,0,0,15.268240656902547,17397.979092881946,,,1296,466,1,5,13.775982685652517,24531.528096547067,,,1296,466,1,3,7.637314750279868,100830.37799382716,,,906,215,2,1,48.99346294684654,7.378644311406999,,,1250,518,0,0,17.44470993568998,10540.27341752543,,,906,215,0,5,33.503037081853336,261.22766118124684,,,906,215,2,6,11.231515467052997,44072.86910328329,,,
3500k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,893,1,4,27.81198298730116,968.5556336805555,,,427,622,1,0,15.011806750820442,18456.196067708333,,,656,893,1,5,13.60137672998841,25537.900897472995,,,656,893,1,3,7.618172098202414,101275.79487654321,,,998,581,2,1,48.713120479267936,7.870654026891491,,,1813,533,1,0,17.249593045440513,11024.618394679866,,,998,581,0,5,32.04867932072078,365.1362392832638,,,998,581,2,6,11.258692952531979,43797.92898255582,,,
3600k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,240,2,4,27.383259717019968,1069.0472448881173,,,0,640,2,0,14.788937980458876,19428.0437263696,,,16,240,1,6,13.570757654113617,25718.58702835648,,,16,240,2,3,7.595178662787619,101813.41484567901,,,1090,947,2,1,48.45256480154034,8.357307657739616,,,138,549,2,0,17.067325902458364,11497.152185326375,,,1090,947,0,5,31.202179761027512,443.71580070542484,,,1090,947,2,6,11.236632019796494,44020.976116831334,,,
3700k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,666,2,4,26.828829249834754,1214.618650173611,,,1494,657,0,0,14.569774206775746,20433.626445794755,,,1296,666,1,6,13.23421105883069,27790.845794753088,,,1296,666,2,3,7.574718745945749,102294.19657407407,,,1182,1313,2,1,48.19652202892344,8.864835221846395,,,702,564,0,0,16.914676887543965,11908.448465039673,,,1182,1313,0,5,30.624852896849358,506.80113709019196,,,1182,1313,2,6,11.221060026375353,44179.1003385367,,,
3800k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,13,0,5,26.223927422133,1396.1437229938272,,,1067,675,1,0,14.376507534139929,21363.485827064043,,,656,13,1,7,12.66373606384887,31691.972026909723,,,656,13,0,2,7.55298667410937,102807.35902777778,,,1274,1679,2,1,47.96699642006844,9.345945158954416,,,1265,579,1,0,16.768917811095115,12314.905659474314,,,1274,1679,0,5,29.872768675516884,602.6234157351976,,,1274,1679,2,6,11.253540724528847,43849.91924076587,,,
3900k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,440,0,5,24.48215542607445,2085.0060894097223,,,640,693,2,0,14.170302493995973,22402.300625482254,,,16,440,1,7,11.334281801733697,43042.22269338349,,,16,440,0,2,7.536745343408109,103192.54797839506,,,1366,2045,2,1,47.75018566935601,9.824360795506442,,,1828,594,2,0,16.64925326461638,12658.945900074314,,,1366,2045,0,5,29.174202663014135,707.7870364484118,,,1366,2045,2,6,11.296518314388369,43418.12242416537,,,
4000k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,866,0,5,23.597904931194066,2555.8324344135804,,,214,711,0,0,13.960597030913224,23510.57047357253,,,1296,866,1,7,10.334953133256503,54178.57236882716,,,1296,866,0,2,7.524435191551852,103485.46397376544,,,1458,2411,2,1,47.563357990614435,10.256213935026967,,,154,610,0,0,16.537163904804018,12989.920101721766,,,1458,2411,0,5,28.566138898837494,814.1585357209925,,,1458,2411,2,6,11.359028050866325,42797.66403977386,,,
4100k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,213,1,5,23.17177899575342,2819.323885513117,,,1707,728,1,0,13.781930396310331,24497.95489390432,,,656,213,2,0,9.865081059174823,60369.10876784336,,,656,213,1,2,7.511441321434333,103795.55087191358,,,1550,331,0,2,46.92458124751888,11.881321440341036,,,717,625,1,0,16.4264562192592,13325.307764422883,,,1550,331,0,6,27.813583418778084,968.198774128869,,,1550,331,0,5,11.377098120836761,42619.96200614233,,,
4200k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,640,1,5,22.655146201204698,3175.471725983796,,,1280,746,2,0,13.597689339315671,25559.593138503085,,,16,640,2,0,9.862585951736873,60403.80197627315,,,16,640,1,2,7.502682525372043,104005.09565586419,,,1642,697,0,2,46.35757950732259,13.538324502735403,,,1280,640,2,0,16.336281377430602,13604.880534651236,,,1642,697,0,6,26.771681708828517,1230.7070811750066,,,1642,697,0,5,11.351765557683022,42869.29234357566,,,
4300k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1296,1066,1,5,21.891683434735278,3785.772627797068,,,854,764,0,0,13.40849221568602,26697.68771267361,,,1296,1066,2,0,9.858877310399327,60455.40560522762,,,1296,1066,1,2,7.492627920642679,104246.16286265432,,,1734,1063,0,2,45.85050860531502,15.215001859650123,,,1844,655,0,0,16.251035551398488,13874.563060954873,,,1734,1063,0,6,25.65159056167177,1592.8094150907136,,,1734,1063,0,5,11.316002070712091,43223.77195501474,,,
4400k,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,656,413,2,5,21.29919941054392,4339.132672646605,,,427,782,1,0,13.236899072415383,27773.65030623071,,,656,413,2,1,9.851822456470432,60553.6916015625,,,656,413,2,2,7.480998269012136,104525.69006944445,,,1826,1429,0,2,45.393156121243436,16.904691835149507,,,169,671,1,0,16.171320165393066,14131.58430608745,,,1826,1429,0,6,24.74090488425366,1964.411110916256,,,1826,1429,0,5,11.286065213219006,43522.75204250963,,,
